text	pmcid	article_version	paragraph	sentence_range	rel	straininfo_si_id	straininfo_taxon	word_strain_qc	ner	word_qc_group	ontology_id	ontology_label	score_rel	ner_score	score_strain	strain_taxonomy_id	strain_taxonomy_label
Trichosporon porosum ) JCM 1458 T . However, genomes of the two isolates differ slightly in terms of mean G+C contents (DSM 27194: 59.10% and JCM 1458 T : 58.52%) and number of unique proteins which stand at 621 in DSM 27194 and 705 in JCM 1458 T .	PMC6389497	PMC6389497.1	8	3-4	STRAIN-ORGANISM:INHABITS	63182	Apiotrichum porosum	jcm 1458	ORGANISM	trichosporon porosum	NCBITaxon:105984	Apiotrichum porosum	0.9997498393058777	0.9164121747016907	0.9238960146903992	NCBITaxon:105984	Apiotrichum porosum
Furthermore, Lombard et al. (2014b) synonymised the genus Heliscus , based on the type species H. lugdunensis , under the genus Neonectria . In this study, CBS 257.54 (= F. penicillioides ) clustered with the ex-type strain (CBS 394.62) of Heliscus submersus in a well-supported clade (BS = 100, PP = 1.0) sister to the clade representing the genus Gliocladiopsis . Therefore, new combinations are required to accommodate these fungi in the genus Aquanectria with A. penicillioides as type.	PMC4779799	PMC4779799.1	19	3-5	STRAIN-ORGANISM:INHABITS	162698	Aquanectria submersa	cbs 394.62	ORGANISM	heliscus submersus	NCBITaxon:859442	Aquanectria submersa	0.9998952150344849	0.8057364225387573	0.8775665163993835	NCBITaxon:859442	Aquanectria submersa
A set of fungal isolates described as belonging to Aspergillus section Fumigati was obtained from Centraalbureau voor Schimmelcultures (CBS): the pathogenic moulds Aspergillus fumigatiaffinis (CBS 117186), Aspergillus lentulus (CBS 116880, 117180, 117182, and 117885), Aspergillus viridinutans (CBS 121595), Neosartorya fischeri (CBS 316.89), Neosartorya hiratsukae (CBS 124073), Neosartorya pseudofischeri (CBS 208.92 and 110899), and Neosartorya udagawae (CBS 114217), and two non-pathogenic moulds Aspergillus novofumigatus (CBS 117519) and Aspergillus unilateralis (CBS 126.56).	PMC3438126	PMC3438126.1	15	1	STRAIN-ORGANISM:INHABITS	165634	Aspergillus thermomutatus	cbs 208.92	ORGANISM	neosartorya pseudofischeri	NCBITaxon:41047	Aspergillus thermomutatus	0.9999141693115234	0.859520435333252	0.6697644889354706	NCBITaxon:41047	Aspergillus thermomutatus
A second group of fungal strains of the section Fumigati was obtained from Centraalbureau voor Schimmelcultures (CBS): pathogenic moulds including Aspergillus fumigatiaffinis (CBS 117186), Aspergillus lentulus (CBS 116880 and CBS 117180), Neosartorya hiratsukae (CBS 124073), Neosartorya pseudofischeri (CBS 208.92), and Neosartorya udagawae (CBS 114217), and two non-pathogenic moulds of section Fumigati, Aspergillus novofumigatus (CBS 117519) and Aspergillus unilateralis (CBS 126.56).	PMC3102036	PMC3102036.1	16	4	STRAIN-ORGANISM:INHABITS	165634	Aspergillus thermomutatus	cbs 208.92	ORGANISM	neosartorya pseudofischeri	NCBITaxon:41047	Aspergillus thermomutatus	0.997977077960968	0.8897280097007751	0.7330044806003571	NCBITaxon:41047	Aspergillus thermomutatus
This study demonstrates that the compounds H1 and H2 obtained from the fungus Drechslera rostrata (DSM 62596) and Eurotium tonophilum (ATCC 16440) have significant antitumor properties, as evaluated by performing MTT assay to check the % cell viability against HCT-116 (colon carcinoma), HeLa (cervical carcinoma), HEp-2 (larynx carcinoma) and HepG-2 (hepatocellular carcinoma) cells.	PMC6111196	PMC6111196.1	34	1	STRAIN-ORGANISM:INHABITS	63433	Aspergillus tonophilus	atcc 16440	ORGANISM	eurotium tonophilum	NCBITaxon:1697446	Aspergillus tonophilus	0.9996756315231323	0.9389819502830505	0.8870061039924622	NCBITaxon:1697446	Aspergillus tonophilus
The sequence for SQS from Aurantiochytrium limacinum SR21 (ATCC-MYA-1381) (previously known as Schizochytrium limacinum ) was selected for further analysis (NCBI ID: DQ464066.2 , UniProtKB id: ABE97915.1 ).	PMC8955342	PMC8955342.1	13	3	STRAIN-ORGANISM:INHABITS	204073	Aurantiochytrium limacinum	atcc-mya-1381	ORGANISM	schizochytrium limacinum	NCBITaxon:87102	Aurantiochytrium limacinum	0.9999200105667114	0.9591495394706726	0.7539210617542267	NCBITaxon:87102	Aurantiochytrium limacinum
Upon EFSA's request for information, the identity of FCC‐3204 at species level was addressed by the applicant based on the comparison of the genome sequence of FCC‐1324, which is the parent strain of FCC‐3204, with the genome sequence of the type strain Aurantiochytrium limacinum ATCC MYA‐1381 (equivalent to Schizochytrium limacinum ATCC MYA‐1381).	PMC7815983	PMC7815983.1	19	1	STRAIN-ORGANISM:INHABITS	204073	Aurantiochytrium limacinum	atcc mya-1381	ORGANISM	schizochytrium limacinum	NCBITaxon:87102	Aurantiochytrium limacinum	0.9277242422103882	0.8212708234786987	0.8130165338516235	NCBITaxon:87102	Aurantiochytrium limacinum
Group 1 contained the ex-neotype strain of A. pullulans var. pullulans ( CBS 584.75 ), its supposed teleomorph Discosphaerina (Columnosphaeria) fagi , the ex-type strain of Kabatiella lini ( CBS 125.21 ), the ex-type strain of Dematoidium nigrescens Stautz ( CBS 146.30 ), the ex-type strain of A. pullulans var. aubasidani ( CBS 100524 ), and a strain of Kabatiella microsticta ( CBS 342.66 ).	PMC2610310	PMC2610310.1	17	10	STRAIN-ORGANISM:INHABITS	75586	Aureobasidium lini	cbs 125.21	ORGANISM	kabatiella lini	NCBITaxon:1836197	Aureobasidium lini	0.9996366500854492	0.7958941459655762	0.6287994980812073	NCBITaxon:1836197	Aureobasidium lini
In her revision of the genus, Hermanides-Nijhof ( 1977 ) neotypified Dematium pullulans De Bary ( 1884 ) with CBS 584.75 , thus establishing A. pullulans as the oldest name for the type species of Aureobasidium . The genus was circumscribed using criteria of conidiogenesis, i.e. , synchronous holoblastic conidium production. This feature is also known in sporodochial Kabatiella species forming defined leaf spots on specific host plants.	PMC2610310	PMC2610310.1	63	4-6	STRAIN-ORGANISM:INHABITS	169729	Aureobasidium pullulans	cbs 584.75	ORGANISM	dematium pullulans	NCBITaxon:5580	Aureobasidium pullulans	0.8912444114685059	0.6986911594867706	0.645216166973114	NCBITaxon:5580	Aureobasidium pullulans
Specimen examined. CBS 186.87 ex-type strain of Mucor grandis .	PMC3734965	PMC3734965.1	106	1-2	STRAIN-ORGANISM:INHABITS	155433	Backusella grandis	cbs 186.87	ORGANISM	mucor grandis	NCBITaxon:1196532	Backusella grandis	0.9999277591705322	0.9476175904273987	0.9151797890663147	NCBITaxon:1196532	Backusella grandis
The holotype of Th. basicola was described with ascomata developing on roots of Senecio elegans in association with Thielaviopsis basicola , measuring 80–170 μm diam, containing fusiform ascospores 9–12 × 5–6.5 μm ( fide Booth, 1961 , von Arx, 1975 ). It is clear that the morphology and ecology of CBS 178.82 fits that of the holotype of Th. basicola quite well. To stabilize the use of the species name, we propose the specimen CBS H-18808 from the strain CBS 178.82 as the neotype of Th. basicola .	PMC6816082	PMC6816082.1	38	10-12	STRAIN-ORGANISM:INHABITS	80361	Berkeleyomyces basicola	cbs 178.82	ORGANISM	thielaviopsis basicola	NCBITaxon:124036	Berkeleyomyces basicola	0.7725306153297424	0.8973021507263184	0.9647597670555115	NCBITaxon:124036	Berkeleyomyces basicola
Wild type Yarrowia lipolytica strain YB-392 was obtained from the ARS Culture (NRRL) Collection. The Arxula adeninivorans type strain (ATCC 76597), wild type Kluyveromyces lactis (ATCC 8585, NRRL Y-1140), wild type Pichia pastoris (ATCC 76273, NRRL Y-11430) and Saccharomyces cerevisiae (ATCC 204508, S288C) were obtained from ATCC.	PMC4507847	PMC4507847.1	17	1-2	STRAIN-ORGANISM:INHABITS	65592	Blastobotrys adeninivorans	atcc 76597	ORGANISM	arxula adeninivorans	NCBITaxon:409370	Blastobotrys adeninivorans	0.9990321397781372	0.9537909030914307	0.9126419126987457	NCBITaxon:409370	Blastobotrys adeninivorans
These include the four newly strains described here: Ea . parva UAMH130, Ea . crescens UAMH4076, P . hystricis UAMH7299 and H . griseus UAMH5409, as well as the following: three Blastomyces dermatitidis (ATCC26199, ATCC18188, ER-3), one Blastomyces gilchristii ( SLH14081 ), one Emmonsia parva (UAMH139), one Emmonsia crescens (UAMH3008), two Histoplasma (WU24, G186AR), five Paracoccidioides (Pb01, Pb03, Pb18, PbCnh, Pb300), two Coccidioides (RS, Silveira), Uncinocarpus reesii (UAMH1704), Microsporum gypseum (CBS118893), Trichophyton rubrum (CBS118892), Aspergillus nidulans (FGSC A4), A . flavus (NRRL3357) and A . fumigatus (Af293).	PMC5852033	PMC5852033.1	31	3	STRAIN-ORGANISM:INHABITS	265201	Blastomyces parvus	uamh139	ORGANISM	emmonsia parva	NCBITaxon:2060905	Blastomyces parvus	0.9998875856399536	0.861513763666153	0.9396674633026123	NCBITaxon:2060905	Blastomyces parvus
From among yeasts, Pichia kudriavzevii (Pk), Brettanomyces bruxellensis culture CBS:2796 (Bb), and Dekkera bruxellensis strain ATCC 200341 (Db) were selected, while from among bacteria, Acetobacter papayae VTH-AH49 (Ap), Komagataeibacter xylinus strain XJL-02-1 (Kx), and Komagataeibacter saccharivorans strain C6 (Ks) were selected.	PMC11130685	PMC11130685.1	28	2	STRAIN-ORGANISM:INHABITS	299413	Brettanomyces bruxellensis	atcc 200341	ORGANISM	dekkera bruxellensis	NCBITaxon:5007	Brettanomyces bruxellensis	0.7292788624763489	0.8632562756538391	0.8590071797370911	NCBITaxon:5007	Brettanomyces bruxellensis
Notes : This species was recently recombined in the genus Lasionectriopsis as L. spinosa ( Lechat et al . 2019 ). Sequences of the ex-type culture of Cephalosporium spinosum (CBS 136.33; GenBank: HE608637 , HE608655 ) generated by Giraldo et al. (2012) and cited by Lechat et al . (2019) are identical to the culture CBS 784.69 that clustered within the Lasionectriopsis pteridii clade ( Lechat et al . 2019 ).	PMC11182610	PMC11182610.1	1088	1-5	STRAIN-ORGANISM:INHABITS	107263	Bulbithecium spinosum	cbs 136.33	ORGANISM	cephalosporium spinosum	NCBITaxon:1036766	Bulbithecium spinosum	0.9997108578681946	0.9399443864822388	0.7179909646511078	NCBITaxon:1036766	Bulbithecium spinosum
The following microbes were used in the experiment: methicillin-resistant Staphylococcus aureus ( MRSA ) (clinical strain), beta-lactamase-producing Escherichia coli (clinical strain), Candida auris (DSM 21092), Candida albicans fluconazole-resistant (ATCC 10231), Trichophyton rubrum , and Trichophyton mentagrophytes (ATCC 9533).	PMC9416722	PMC9416722.1	19	1	STRAIN-ORGANISM:INHABITS	400386	Candidozyma auris	dsm 21092	ORGANISM	candida auris	NCBITaxon:498019	Candidozyma auris	0.9862311482429504	0.8676885962486267	0.8953649401664734	NCBITaxon:498019	Candidozyma auris
Notes : No type specimen has been designated for this taxon. Xu et al. (2010) used sequences from CBS cultures CBS 321.68, CBS 276.69, and CBS 126.13 identified as Sclerotium rhizodes to determine their phylogenetic placement. All three CBS-derived sequences were recovered in a clade closely related to sequences variously identified as Ceratobasidium and Rhizoctonia . Xu et al. (2010) then transferred S. rhizodes to Ceratorhiza with no neotype designated.	PMC12308286	PMC12308286.1	323	1-4	STRAIN-ORGANISM:INHABITS	151537	Ceratorhiza rhizodes	cbs 126.13	ORGANISM	sclerotium rhizodes	NCBITaxon:2082608	Ceratorhiza rhizodes	0.9998722076416016	0.8960438072681427	0.9020764827728271	NCBITaxon:2082608	Ceratorhiza rhizodes
The remaining ingroup can be devided into a Sphaerulina clade (100 %, 51 strains including the basal strain of Sph. abeliceae , CBS 128591 ) and main Septoria clade (80 %, 259 strains) with, positioned in between smaller groups comprised of “ Septoria ” cruciatae ( CBS 123747 , 123748 ), a small pseudocercosporella-like clade comprising Passalora fusimaculans (CPC 17277), a clade with Passalora depressa (CPC 14915), “Mycosphaerella” brassicicola and affiliated taxa with Pseudocercosporella asexual morphs (100 %, 9 strains), and a miscellaneous clade containing “ Passalora ” sp. (100 %, CBS 113989 , 113999 , 114275 ), Passalora dioscoreae (CPC 10855, 11513), Pseudocercosporella magnusiana ( CBS 114735 ), Passalora janseana ( CBS 145.37 ), “ Septoria erigerontis ” (CPC 19485), and a Cercospora clade (100 %, 4 strains).	PMC3713889	PMC3713889.1	18	1	STRAIN-ORGANISM:INHABITS	152599	Cercospora janseana	cbs 145.37	ORGANISM	passalora janseana	NCBITaxon:706553	Cercospora janseana	0.9994986057281494	0.7076774537563324	0.8031022846698761	NCBITaxon:706553	Cercospora janseana
Our new data show that the clade is dominated by Arctic environmental sequences from Tara Oceans and Arctic isolates, including Pavlovales CCMP2436, Baffinella CCMP2293, the pelagophyte CCMP209, and Chaetoceros neogracile RCC1993, which is a diatom isolated from the Beaufort Sea, consistent with at least six within Arctic eukaryote HGT events.	PMC9756366	PMC9756366.1	20	7	STRAIN-ORGANISM:INHABITS	210888	Chaetoceros	ccmp209	ORGANISM	chaetoceros	NCBITaxon:49237	Chaetoceros	0.9011839628219604	0.8437374234199524	0.9132584929466248	NCBITaxon:49237	Chaetoceros
We expressed MysDs from Nostoc sp. PA-18-2419 (Y–S) and Nostoc sp. NIES-4103 (Y–S), Calothrix elsteri CCALA 953 (A–S) and Calothrix sp. PCC 6303 (A–S), Chamaesiphon polymorphus CCALA 037 (M–S) and Chamaesiphon minutus PCC 6605 (M–S) in SC.L26 and all of them produce predominantly porphyra-334, suggesting a relationship between S in the second residue and porphyra-334 product specificity with the exception of L–S ( Figures 4 B, S23–S28 ).	PMC11983340	PMC11983340.1	21	5	STRAIN-ORGANISM:INHABITS	38844	Chamaesiphon	pcc 6605	ORGANISM	chamaesiphon	NCBITaxon:217161	Chamaesiphon	0.7270256280899048	0.6557213664054871	0.6125407814979553	NCBITaxon:217161	Chamaesiphon
Notes : Similar to the cultures of Chlamydocillium guttulatum , C. lolii based on culture CBS 214.70, also originally labelled as Acremonium curvulum , forms a separate lineage ( Fig. 3 ). Morphologically, C. lolii differs from C. acaciae in its longer conidiophores, phialides and conidia (conidiophores: up to 98.5 μm long vs up to 39 μm long; phialides: 37–70 μm vs 11–31 μm long; conidia: 3.5–11.9 × 1.5–2.9 μm vs 3.4–8.9 × 1.4–2.1 μm) .	PMC11182610	PMC11182610.1	1369	1-2	STRAIN-ORGANISM:INHABITS	162121	Chlamydocillium curvulum	cbs 214.70	ORGANISM	acremonium curvulum	NCBITaxon:687987	Chlamydocillium curvulum	0.9813822507858276	0.6630669236183167	0.8042588829994202	NCBITaxon:687987	Chlamydocillium curvulum
Clade VII (98 % BS) clustered two separate monophyletic lineages, one of them included the ex-type strain of Acremonium restrictum CBS 178.40 and six isolates from different origins, and the other one contained two isolates of A. collariferum including the ex-type CBS 124586. Clade VIII, IX and X represented the genera Stachylidium, Brunneomyces and Lectera , respectively, each one fully supported (100 % BS). Clade XI was the biggest clade, representing the genus Verticillium with 10 accepted species.	PMC6276054	PMC6276054.1	13	18-20	STRAIN-ORGANISM:INHABITS	74245	Chlamydosporiella restricta	cbs 178.40	ORGANISM	acremonium restrictum	NCBITaxon:461124	Chlamydosporiella restricta	0.9723359942436218	0.9271534979343414	0.8390492796897888	NCBITaxon:461124	Chlamydosporiella restricta
Chrysochromulina sp. NIES-1333 showed a very different mitochondrial structure from other haptophyte strains described above. The Chrysochromulina sp. NIES-1333 genome (34,291 bp) has two small intergenic repeats of 1624 bp and 1630 bp, and missing a large, complex repeated sequence array.	PMC8283788	PMC8283788.1	44	6-7	STRAIN-ORGANISM:INHABITS	357948	Chrysochromulina	sp. nies-1333	ORGANISM	chrysochromulina	NCBITaxon:35140	Chrysochromulina	0.9410068988800049	0.7686108946800232	0.8726328015327454	NCBITaxon:35140	Chrysochromulina
For example, rpl14 and rps19 were found only in Pavlovales (Pavlovophyceae). The rps14 was absent from Chrysochromulina sp. NIES-1333 (Prymnesiales) and Pavlomulina ranunculiformis NIES-3900, the rps3 was absent from Chrysochromulina sp. NIES-1333 (Prymnesiales), Pavlovales, Haptophyta sp. isolate H2 and P. ranunculiformis NIES-3900. The nad9 was found only in P. ranunculiformis NIES-3900.	PMC8283788	PMC8283788.1	27	4-6	STRAIN-ORGANISM:INHABITS	357948	Chrysochromulina	sp. nies-1333	ORGANISM	chrysochromulina	NCBITaxon:35140	Chrysochromulina	0.999626636505127	0.8035479784011841	0.8513545989990234	NCBITaxon:35140	Chrysochromulina
For example, rpl14 and rps19 were found only in Pavlovales (Pavlovophyceae). The rps14 was absent from Chrysochromulina sp. NIES-1333 (Prymnesiales) and Pavlomulina ranunculiformis NIES-3900, the rps3 was absent from Chrysochromulina sp. NIES-1333 (Prymnesiales), Pavlovales, Haptophyta sp. isolate H2 and P. ranunculiformis NIES-3900. The nad9 was found only in P. ranunculiformis NIES-3900.	PMC8283788	PMC8283788.1	27	4-6	STRAIN-ORGANISM:INHABITS	357948	Chrysochromulina	sp. nies-1333	ORGANISM	chrysochromulina	NCBITaxon:35140	Chrysochromulina	0.9941003918647766	0.7957350015640259	0.850328803062439	NCBITaxon:35140	Chrysochromulina
The corresponding phylogenetic trees were rebuilt with inclusion of representative sequences (if available) from more algal taxa ( Pyrodinium bahamense pbaha01, Gambierdiscus australes CAWD149, Goniomonas Pacifica CCMP1869, Togula jolla CCCM725, Pleurochrysis carterae CCMP645, Ceratium fusus PA161109 ) that were generated from the Marine Microbial Eukaryote Transcriptome Sequencing Project ( Keeling et al., 2014 ).	PMC4878875	PMC4878875.1	35	2	STRAIN-ORGANISM:INHABITS	211363	Chrysotila carterae	ccmp645	ORGANISM	pleurochrysis carterae	NCBITaxon:13221	Chrysotila carterae	0.999552309513092	0.9506358206272125	0.8733276128768921	NCBITaxon:13221	Chrysotila carterae
The strains used as controls were Candida glabrata (ATCC MYA 2950), Candida lusitaniae (ATCC 34449), Candida utilis (ATCC 9950), Geotrichum capitatum (ATCC 28576), Kloeckera apis (ATCC 32857), Prototheca wickerhamii (ATCC 16529), and Trichosporon mucoide (ATCC 204094) 7 .	PMC4804554	PMC4804554.1	12	1	STRAIN-ORGANISM:INHABITS	63399	Clavispora lusitaniae	atcc 34449	ORGANISM	candida lusitaniae	NCBITaxon:36911	Clavispora lusitaniae	0.9997230172157288	0.947996973991394	0.9141440391540527	NCBITaxon:36911	Clavispora lusitaniae
95 conserved proteins (Additional file 2 : Table S2) from Saccharomyces cerevisiae S288c were retrieved using YGD, CGD and BLASTn for the following organisms: Saccharomyces cerevisiae S288c , Candida albicans SC-5314 , Candida dubliniensis CD-36 , Candida glabrata CBS 138 ,,Candida isolate 6684 , Candida tropicalis MYA-3404 , Candida lusitaniae ATCC 42720 , Candida gulliermondii ATCC 6260 , Candida orthopsilosis Co-90–125 , Ashbya_gossypii and Histoplasma capsulatum.	PMC4562351	PMC4562351.1	37	1	STRAIN-ORGANISM:INHABITS	256118	Clavispora lusitaniae	atcc 42720	ORGANISM	candida lusitaniae	NCBITaxon:36911	Clavispora lusitaniae	0.9874235987663269	0.9267046451568604	0.800828218460083	NCBITaxon:36911	Clavispora lusitaniae
Using TEM, Gärtner and Ingolić ( 1993 ) and later Tschaikner et al. ( 2007b ) showed a very similar liberation of daughter cells/autospores from an autosporangium from C. terrestris (strain N29 and strain SWK3:53 respectively, ex S. terrestris ). Similar observations were made by PunČochářová and Kalina ( 1981 ) and Kaufnerová and Eliáš ( 2013 ) in C. rubescens CCALA 475, Uzunov et al. ( 2008 ) in C. aeroterrestrica , and Kawasaki et al. ( 2019 ) in C. astaxanthina and Coelastrella sp. SAG 2123.	PMC7496060	PMC7496060.1	56	1-2	STRAIN-ORGANISM:INHABITS	353594	Coelastrella	sp. sag 2123	ORGANISM	coelastrella	NCBITaxon:75800	Coelastrella	0.9993904829025269	0.769702136516571	0.6745502352714539	NCBITaxon:75800	Coelastrella
The most diverse microbiome of the genus Coleofasciculus was found in the WW12 culture (DSM 104231) [ 10 ], and 36 of the 40 MAGs in this culture probably represent new species ( Supplementary Table S1 ).	PMC13043013	PMC13043013.1	20	3	STRAIN-ORGANISM:INHABITS	283074	Coleofasciculus	dsm 104231	ORGANISM	coleofasciculus	NCBITaxon:669368	Coleofasciculus	0.9998775720596313	0.818146824836731	0.9033802449703217	NCBITaxon:669368	Coleofasciculus
