_sample_hash	article_version	candidate_id	end	end_strain	ner	ner_score	ontology	ontology_candidate_count	ontology_id	ontology_label	ontology_match_confidence	ontology_match_method	ontology_status	paragraph	pmcid	rel	review_rank	review_tier	score_rel	score_strain	seeded_entities	seeded_relations	seeded_skipped_relations	sentence_range	start	start_strain	straininfo_method	straininfo_si_id	straininfo_status	straininfo_taxon	text	word	word_qc_group	word_strain	word_strain_qc
761667848644401882	PMC4149012.1	pmc_candidate_7bfd8718c0faf3	68	48	ORGANISM	0.9722253084182739	NCBITAXON	1	NCBITaxon:3869	Lupinus	1.0	direct_exact	matched	1	PMC4149012	STRAIN-ORGANISM:SYMBIONT_OF	11	high_grounded	0.9768908023834229	0.9718239903450012	2	2	0	1	61	19	contained_bounded	377737	unique	Microvirga lupini	Genome sequence of Microvirga lupini strain LUT6 T , a novel Lupinus alphaproteobacterial microsymbiont from Texas	lupinus	lupinus	microvirga lupini strain lut6	microvirga lupini lut6
2447194405157130831	PMC7291247.1	pmc_candidate_8b427065e839fc	96	26	ORGANISM	0.980103075504303	NCBITAXON	1	NCBITaxon:3847	Glycine max	0.99	direct_exact	matched	17	PMC7291247	STRAIN-ORGANISM:SYMBIONT_OF	12	high_grounded	0.9643886089324951	0.9885578155517578	6	11	0	7-8	89	20	exact	129006	unique	Bradyrhizobium japonicum	Among the homologs, USDA61 NopL was relatively close to NopLs of B. elkanii NBRC14791 (a soybean symbiont) and B. vorense sp. nov. CI-1B (a symbiont of Cajanus cajan , pigeon pea).	soybean	soybean	usda61	usda61
4348919178865798	PMC11313072.1	pmc_candidate_c3ed0a955acabe	396	78	COMPOUND	0.9611532092094421		0					unmatched	12	PMC11313072	STRAIN-COMPOUND:PRODUCES	13	high_unresolved	0.9995372295379639	0.9869673550128937	4	2	0	2-3	394	54	contained_bounded	4950	unique	Serratia marcescens	An even higher yield of 900 mg/L PG was isolated from S. marcescens ATCC 13880 grown on a solid medium containing 2% sucrose (carbon source), 1% casein hydrolysate (nitrogen source) and 4% peanut oil seed cake (sludge after oil extraction) as the fatty acid source at pH 7.5 after 72 h [ 46 ]. It was also shown that the incorporation of salts into the waste-based production media can enhance PG production [ 45 , 47 ].	pg	pg	s. marcescens atcc 13880	s. marcescens atcc 13880
7918358732048160	PMC3907830.1	pmc_candidate_6e9ab66a041198	49	86	COMPOUND	0.9115413427352905		0					unmatched	13	PMC3907830	STRAIN-COMPOUND:PRODUCES	14	high_unresolved	0.9990563988685608	0.9837996363639832	6	1	0	6-8	46	66	contained_bounded	44134	unique	Phaeobacter gallaeciensis	More importantly, QS is not important for the TDA production when P. inhibens DSM17395 is used as a probiotic treatment in aquaculture system [ 27 ]. Interestingly, the antibiotic TDA itself may also be considered a signal molecule in P. inhibens DSM 17395. Addition of exogenous TDA into QS mutants increases pigment production and induces the expression of its own synthesis genes [ 26 ].	tda	tda	p. inhibens dsm17395	p. inhibens dsm17395
10007880284570313	PMC11548373.1	pmc_candidate_46e240ab7dfee8	35	202	COMPOUND	0.9751512408256531		0					unmatched	137	PMC11548373	STRAIN-COMPOUND:PRODUCES	15	high_unresolved	0.991305410861969	0.9744097888469696	5	5	0	1-2	32	168	contained_bounded	413866	unique	Bacillus paramycoides	El-Kadi et al. [ 237 ] produced PHB using three different carbon sources: dried whey, sugar beet molasses, and date molasses. Thirty isolated bacteria were tested, and Bacillus paramycoides MCCC 1A04098, Azotobacter salinestris NBRC 102611, and Brevundimonas naejangsanensis BIO-TAS2-2 were identified as the best bacteria to obtain PHB.	phb	phb	bacillus paramycoides mccc 1a04098	bacillus paramycoides mccc 1a04098
7716983823385217	PMC13363419.1	pmc_candidate_e7766f2c24e412	199	234	COMPOUND	0.9167045950889587		0					unmatched	72	PMC13363419	STRAIN-COMPOUND:RESISTS	16	high_unresolved	0.99993896484375	0.9716890454292297	7	6	0	3-4	197	214	contained_bounded	9373	unique	Staphylococcus aureus subsp. aureus	The combination of TE and KWG showed synergistic effects against S. aureus ATCC 33591 and MRSA T3 clinic strains, and additive effects against other strains. Specifically, the combination reversed TE resistance in S. aureus ATCC 33591 and MRSA T4 clinic strains, reducing the MIC value to below the Clinical & Laboratory Standards Institute (CLSI) susceptibility limit of 4 µg/mL.	te	te	s. aureus atcc 33591	s. aureus atcc 33591
15982843661477078	PMC8060452.1	pmc_candidate_2e09a7c4819a64	282	303	COMPOUND	0.967754602432251		2				direct_exact	ambiguous	37	PMC8060452	STRAIN-COMPOUND:RESISTS	17	high_unresolved	0.9995372295379639	0.975648045539856	9	5	0	3-4	275	292	exact	219455	unique	Alicyclobacillus mali	In our case study, the repertoire of arsenic resistance genes of A. mali FL18 was compared to that of A. mali NBRC 102425, and the analysis showed that our isolate has a more complex resistance system ( Figure 6 ). Therefore, it is expected that it could be more tolerant to arsenic than the NBRC 102425 strain and represent a model system to unravel sophisticated arsenic resistance mechanisms.	arsenic	arsenic	nbrc 102425	nbrc 102425
25744330506731409	PMC6395927.1	pmc_candidate_e9d52f2c91e20f	94	142	COMPOUND	0.9775834083557129		0					unmatched	27	PMC6395927	STRAIN-COMPOUND:RESISTS	18	high_unresolved	0.9999556541442871	0.9153280854225159	13	35	0	1-3	91	132	exact	45064	unique	Mycobacterium tuberculosis	MICs were assessed against strains of M. tuberculosis H 37 Rv with mono-drug resistance to RIF (ATCC 35838), INH (ATCC 35822), STR (ATCC 35820), KM (ATCC 35827), CS (ATCC 35826), MXF, and CAP. The rMXF and rCAP strains were isolated in our laboratory and contained mutations within gyrA and tylA , respectively. The assays were carried out with the same protocol as used for susceptible H 37 Rv strains.	rif	rif	atcc 35820	atcc 35820
46999096786858883	PMC11094315.1	pmc_candidate_9147cf35aa5356	194	132	DISEASE	0.9163905382156372		0					unmatched	10	PMC11094315	STRAIN-DISEASE:ASSOCIATED_WITH	19	high_unresolved	0.9986979961395264	0.9861392974853516	5	3	0	1-3	192	115	contained_bounded	2805	unique	Escherichia coli	The strains of Gardnerella and E. coli in our study included G. vaginalis ATCC14018 ( Vaneechoutte et al., 2019 ), E. coli ATCC25922, and other Gardnerella species isolated from patients with BV. Clinical symptoms and the Nugent score were used to diagnose BV in patients who did not have any other urogenital infections. Antibiotics had not been given to the patients during the preceding week.	bv	bv	e. coli atcc25922	e. coli atcc25922
86625768381417514	PMC3521468.1	pmc_candidate_88fc36adf89d0f	276	167	DISEASE	0.9769977033138275		0					unmatched	35	PMC3521468	STRAIN-DISEASE:ASSOCIATED_WITH	20	high_unresolved	0.9590393900871277	0.9818107783794403	5	3	0	3	252	144	contained_bounded	38684	unique	Providencia stuartii	Comparison of the M. morganii genome with that of the other 14 members of the Enterobacteriaceae analysed revealed orthologues in the pathogens P. stuartii ATCC# 25827, E. coli UTI89 , and E. coli APEC O1 , all of which have been implicated in causing urinary tract infections [ 56 ].	urinary tract infections	urinary tract infections	p. stuartii atcc# 25827	p. stuartii atcc# 25827
105078770246544976	PMC8914354.1	pmc_candidate_e9957959798b22	149	209	DISEASE	0.9559246003627777		0					unmatched	2	PMC8914354	STRAIN-DISEASE:ASSOCIATED_WITH	21	high_unresolved	0.9989308714866638	0.9774675965309143	5	3	0	1-2	128	186	contained_bounded	92085	unique	Acinetobacter baumannii	Acinetobacter baumannii has emerged as an important opportunistic pathogen worldwide, being responsible for large outbreaks for nosocomial infections, primarily in intensive care units. A. baumannii ATCC 19606 T is the species type strain, and a reference organism in many laboratories due to its low virulence, amenability to genetic manipulation and extensive antibiotic susceptibility.	nosocomial infections	nosocomial infections	a. baumannii atcc 19606	a. baumannii atcc 19606
90707226821613221	PMC4153493.1	pmc_candidate_15dc1e734c16e0	389	256	ORGANISM	0.9659505486488342		2				direct_exact	ambiguous	3	PMC4153493	STRAIN-ORGANISM:SYMBIONT_OF	22	high_unresolved	0.9667574763298035	0.9796517491340637	6	6	0	5-6	383	227	contained_bounded	369499	unique	Serratia symbiotica	On the other hand, the clade B members are restricted to aphids of the subfamily Lachinae and correspond to primary-like endosymbionts implicated in the synthesis of amino acids, like in the aphid Cinara cedri ( 5 ). Recently, S. symbiotica strain CWBI-2.3 T was isolated from Aphis fabae and cultivated on artificial rich medium ( 6 ), constituting the first symbiotic bacterium of aphids with a free-living capacity.	aphids	aphids	s. symbiotica strain cwbi-2.3	s. symbiotica cwbi-2.3
365697422833856708	PMC2376095.1	pmc_candidate_1a8d3a8ab5330e	176	56	ORGANISM	0.9797518849372864		0					unmatched	4	PMC2376095	STRAIN-ORGANISM:SYMBIONT_OF	23	high_unresolved	0.980728805065155	0.9718219339847565	5	4	0	3	169	13	contained_bounded	404808	unique	Candidatus Protochlamydia amoebophila	This strain, Candidatus Protochlamydia amoebophila UWE25 is an endosymbiont of Acanthamoeba and likely represents the type of endoparasite that contributed the genes to Plantae.	plantae	plantae	candidatus protochlamydia amoebophila uwe25	candidatus protochlamydia amoebophila uwe25
563320486511409233	PMC3501461.1	pmc_candidate_e0aa8df438830b	281	179	ORGANISM	0.9275029897689819		0					unmatched	34	PMC3501461	STRAIN-ORGANISM:SYMBIONT_OF	24	high_unresolved	0.9304267168045044	0.920003205537796	6	6	0	4	276	149	contained_bounded	128481	unique	Acaryochloris marina	Add to this that the mitochondrial ancestor is assumed to have carried metacaspases (see above) as do extant symbiotically competent Cyanobacteria ( Acaryochloris marina MBIC11017, Nostoc punctiforme PCC73102 and ‘ Nostoc azollae ’ 0708), and potentially also the ancestor of plant chloroplasts [46] , [60] , [61] .	plant	plant	acaryochloris marina mbic11017	acaryochloris marina mbic11017
1268437887333323429	PMC7996865.1	pmc_candidate_f8d9619ffabc57	89	132	PHENOTYPE	0.9026878774166107		0					unmatched	11	PMC7996865	STRAIN-PHENOTYPE:INHIBITS	25	high_unresolved	0.9975656270980835	0.9814739227294922	3	1	0	3	75	100	contained_bounded	41402	unique	Staphylococcus epidermidis	Moreover, the Ag NPs produced via this new method were able to inhibit the biofilm growth caused by Staphylococcus epidermidis RP62A [ 14 ].	biofilm growth	biofilm growth	staphylococcus epidermidis rp62a	staphylococcus epidermidis rp62a
2129009831123546623	PMC11855622.1	pmc_candidate_8544f3a9f171ed	73	42	PHENOTYPE	0.9171472191810608		0					unmatched	39	PMC11855622	STRAIN-PHENOTYPE:INHIBITS	26	high_unresolved	0.997036337852478	0.9891497492790222	4	1	0	3-4	64	14	contained_bounded	399024	unique	Escherichia coli	Additionally, Escherichia coli Nissle 1917 was found to inhibit mitophagy and ameliorate mitochondrial damage by promoting IL-22 expression in polycystic ovary syndrome mice [ 93 ]. These findings suggest that microbiota can influence the immune environment through mitophagy, raising the intriguing possibility of a connection between tumor-resident intracellular microbiota and mitophagy.	mitophagy	mitophagy	escherichia coli nissle 1917	escherichia coli nissle 1917
3550898208348516476	PMC6448019.1	pmc_candidate_548c00dc424e1d	138	86	PHENOTYPE	0.9156385064125061		0					unmatched	53	PMC6448019	STRAIN-PHENOTYPE:INHIBITS	27	high_unresolved	0.9971439242362976	0.9735395908355713	4	1	0	3	121	61	contained_bounded	138992	unique	Acetobacter senegalensis	In addition, although EtOH condition supported the growth of A. senegalensis LMG 23690 T , it considerably inhibited the biomass formation which is attributed to the inhibitory effect of acetic acid following ethanol oxidation.	biomass formation	biomass formation	a. senegalensis lmg 23690	a. senegalensis lmg 23690
74927672114588267	PMC8453950.1	pmc_candidate_68be24656137b3	97	218	COMPOUND	0.9771853089332581	CHEBI	1	CHEBI:84046	pyoverdine	1.0	direct_exact	matched	12	PMC8453950	STRAIN-COMPOUND:PRODUCES	28	relation_boundary	0.5380124449729919	0.9877274334430695	5	1	0	3-4	87	201	contained_bounded	380598	unique	Pseudomonas protegens	This assay revealed that 28 out of the 315 isolates produced no or less than 5% of the pyoverdine produced by characterized laboratory Pseudomonas reference strains (e.g. including P. aeruginosa PAO1, P. protegens CHA0, P. putida IsoF; see detailed description in Butaitė et al., 2017 ). We considered these 28 isolates as pyoverdine nonproducers and thus potential cheaters.	pyoverdine	pyoverdine	p. protegens cha0	p. protegens cha0
75204625428389338	PMC4546601.1	pmc_candidate_df0b418f56ebf1	180	42	COMPOUND	0.95855313539505	CHEBI	1	CHEBI:16236	ethanol	1.0	direct_exact	matched	21	PMC4546601	STRAIN-COMPOUND:PRODUCES	29	relation_boundary	0.5679665207862854	0.9257217645645142	3	2	0	1-2	173	0	contained_bounded	404519	unique	Thermoanaerobacter italicus	Thermoanaerobacter italicus Pentocrobe 411 was tested in continuous fermentations of different lignocellulosic substrates to investigate the limits to ethanol productivity, ethanol concentration and yield. All experiments were performed in continuous culture as the productivity and tolerance of Thermoanaerobacter sp. have been demonstrated to be significantly higher in continuous as compared to batch culture.	ethanol	ethanol	thermoanaerobacter italicus pentocrobe 411	thermoanaerobacter italicus pentocrobe 411
100419466526698085	PMC5258708.1	pmc_candidate_5d8447c907ade4	84	127	COMPOUND	0.9161307215690613		0					unmatched	13	PMC5258708	STRAIN-COMPOUND:PRODUCES	30	relation_boundary	0.5335797071456909	0.9467412233352661	6	3	0	8-9	77	119	exact	65224	unique	Yarrowia lipolytica	Noteworthy is, that three strains completely down-regulated the formation of polyols at the pH of 5.5 (CBS 7504, H222, CBS 6114—Figure 4 ). These strains did not even accumulate polyols at an earlier stage of the cultivation at a pH of 5.5 (data not shown).	polyols	polyols	cbs 6114	cbs 6114
179925344654323787	PMC5553594.1	pmc_candidate_71d327fac14130	176	233	COMPOUND	0.9034441709518433	CHEBI	1	CHEBI:15366	acetic acid	1.0	direct_exact	matched	3	PMC5553594	STRAIN-COMPOUND:RESISTS	31	relation_boundary	0.5071406364440918	0.982606828212738	5	3	0	4-5	165	211	contained_bounded	100709	unique	Kozakia baliensis	The R strain had a markedly increased tolerance towards acetic acid and ethanol compared to the other NBRC 16680 strains (S, R:Δ polE ). A relatively high intrinsic acetic acid tolerance was also observable for K. baliensis DSM 14400 T , which might indicate diverse adaptation mechanisms of different K. baliensis strains in altering natural habitats.	acetic acid	acetic acid	k. baliensis dsm 14400	k. baliensis dsm 14400
414159067322208874	PMC12671745.1	pmc_candidate_f16b73f0918e5b	31	200	COMPOUND	0.9399710297584534		0					unmatched	21	PMC12671745	STRAIN-COMPOUND:RESISTS	32	relation_boundary	0.6158317923545837	0.9908891916275024	9	6	0	6-8	27	181	contained_bounded	10716	unique	Rhodococcus opacus	The growth temperature and NaCl tolerance of strain DK17 T are similar to those of R. jostii RHA1 and R. opacus KCTC 9811 T . However, the pH tolerance range for R. jostii RHA1 and R. opacus KCTC 9811 T (5.0–9.0) is slightly broader than that of strain DK17 T . The detailed physiological characteristics of strain DK17 T and closely related Rhodococcus strains are summarized in ( Table 1 ).	nacl	nacl	r. opacus kctc 9811	r. opacus kctc 9811
459494068427595073	PMC4384142.1	pmc_candidate_59701f8d610c13	349	35	COMPOUND	0.9840653538703918		0					unmatched	2	PMC4384142	STRAIN-COMPOUND:RESISTS	33	relation_boundary	0.6474291086196899	0.9864721596240997	10	11	0	1-3	334	0	contained_bounded	264413	unique	Corynebacterium singulare	Corynebacterium singulare DSM 44357 is a urease-positive microorganism isolated from human semen. The complete genome sequence of C. singulare DSM 44357 comprises 2,830,519 bp with a mean G+C content of 60.12% and 2,581 protein-coding genes. The deduced antibiotic resistance pattern of this strain includes macrolides, lincosamides, aminoglycosides, chloramphenicol, and tetracyline.	aminoglycosides	aminoglycosides	corynebacterium singulare dsm 44357	corynebacterium singulare dsm 44357
356592977652906321	PMC5691139.1	pmc_candidate_95483b744cad49	394	110	DISEASE	0.9437399506568909		0					unmatched	5	PMC5691139	STRAIN-DISEASE:ASSOCIATED_WITH	34	relation_boundary	0.638088583946228	0.9815293252468109	13	14	0	1-3	388	96	contained_bounded	44089	unique	Staphylococcus aureus subsp. aureus	In the present study, the structural and functional identification of hypothetical SAV0551 from S. aureus Mu50 was conducted. S. aureus Mu50 (ATCC 700699) is a vancomycin-intermediate S. aureus that displays robust virulence properties. It causes severe infectious diseases ranging from mild infections, such as skin infections and food poisoning, to life-threatening infections, such as sepsis, endocarditis, and toxic shock syndrome [ 23 ].	sepsis	sepsis	s. aureus mu50	s. aureus mu50
961501846249718045	PMC4682512.1	pmc_candidate_588cbf7776d564	271	225	DISEASE	0.9600285589694977		0					unmatched	2	PMC4682512	STRAIN-DISEASE:ASSOCIATED_WITH	35	relation_boundary	0.5640684962272644	0.9875445663928986	6	4	0	1-2	254	192	contained_bounded	380837	unique	Listeria monocytogenes	From the previous study, Enterococcus faecium SH01 was isolated from mukeunji , an over-ripened kimchi , and it produced bacteriocin SH01. Bacteriocin SH01 showed an inhibitory effect against Listeria monocytogenes ATCC 19111, a bacterial strain causing human listeriosis.	human listeriosis	human listeriosis	listeria monocytogenes atcc 19111	listeria monocytogenes atcc 19111
1482596160021760051	PMC5507444.1	pmc_candidate_615d60440671f2	142	158	DISEASE	0.9567304849624634		0					unmatched	10	PMC5507444	STRAIN-DISEASE:ASSOCIATED_WITH	36	relation_boundary	0.5456791520118713	0.9873365759849548	26	12	0	2	129	152	exact	67910	unique	Clostridium perfringens	The strains 89–87, CP-A0, CP-A4, 93R, CP48, CP47, 226–12 were isolated from lambs with enterotoxemia, 230–09 was from goats with enterotoxemia, CWC238, CWC245 were from piglets with necrotic enteritis, 180–08 and 420–13 were of human origin, 667–76 was a collection strain from the National Reference Center for Anaerobic Bacteria and Botulism, and 73–20144, 73–20115, 71–2097, NCTC3181 and NCIB10748 were collection strains.	enterotoxemia	enterotoxaemia	cwc245	cwc245
127850188361935268	PMC7865433.1	pmc_candidate_9256d395c6ba0e	351	377	ORGANISM	0.9499505758285522		0					unmatched	12	PMC7865433	STRAIN-ORGANISM:SYMBIONT_OF	37	relation_boundary	0.5364343523979187	0.9921984672546387	5	5	0	2	333	355	contained_bounded	410655	unique	Cobetia amphilecti	Possibly, the highly active alkaline phosphatase PhoA was acquired by the cosmopolite Cobetia strains during their trying colonization of an invertebrate digestive tract due to the putatively significant role of the enzyme in the relationship (symbiotic or pathogenic) between marine habitants, such as C. amphilecti KMM 296 and the mussel C. grayanus or C. amphilecti KMM 1561 T , and the eponymous sponge Amphilectus digitatus [ 7 , 9 , 20 , 24 ].	mussel c. grayanus	mussel c. grayanus	c. amphilecti kmm 1561	c. amphilecti kmm 1561
218566518709749388	PMC3732241.1	pmc_candidate_b013d746c99998	443	337	ORGANISM	0.9838156700134277	NCBITAXON	1	NCBITaxon:3917	Vigna unguiculata	1.0	direct_exact	matched	2	PMC3732241	STRAIN-ORGANISM:SYMBIONT_OF	38	relation_boundary	0.5954337120056152	0.9783504009246826	5	2	0	1-3	426	331	exact	308518	unique	Rhizobium	The rhizobium-legume symbiosis is a model system for studying mutualistic interactions between bacteria and eukaryotes. Sinorhizobium sp. NGR234 is distinguished by its ability to form either indeterminate nodules or determinate nodules with diverse legumes. Here, we presented a high-resolution RNA-seq transcriptomic analysis of NGR234 bacteroids in indeterminate nodules of Leucaena leucocephala and determinate nodules of Vigna unguiculata .	vigna unguiculata	vigna unguiculata	ngr234	ngr234
305926206237436777	PMC4148989.1	pmc_candidate_aba0ca800e2053	307	195	ORGANISM	0.9438164234161377		0					unmatched	5	PMC4148989	STRAIN-ORGANISM:SYMBIONT_OF	39	relation_boundary	0.6283788681030273	0.9600457549095154	5	2	0	3-4	293	186	exact	361572	unique	Mesorhizobium ciceri biovar biserrulae	This monospecific legume specifically forms an effective nitrogen fixing symbiosis with the root nodule bacterium Mesorhizobium ciceri bv. biserrulae type strain WSM1271 T (= LMG23838 = HAMBI2942) [ 4 , 5 ]. Australian indigenous rhizobial populations were found to be incapable of nodulating B. pelecinus L [ 2 ].	b. pelecinus l	b. pelecinus l	hambi2942	hambi2942
